"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2271","test_select_test_cafe[chromium]","tests.devexpress","Sat Mar 01 16:00:35 GMT 2025","passed","Sat Mar 01 16:00:38 GMT 2025","","test_check","",""
"","2548","test_has_title[chromium]","tests.demo","Sat Mar 01 16:00:00 GMT 2025","passed","Sat Mar 01 16:00:02 GMT 2025","","test_example","",""
"","1709","test_login[chromium-locked_out_user-secret_sauce-Epic sadface: Sorry, this user has been locked out.]","tests.saucedemo","Sat Mar 01 16:00:55 GMT 2025","passed","Sat Mar 01 16:00:57 GMT 2025","","test_login_negative","",""
"","724","test_login[chromium-user1-- text: Products Name (A to Z)\n- combobox:\n  - option ""Name (A to Z)"" [selected]\n  - option ""Name (Z to A)""\n  - option ""Price (low to high)""\n  - option ""Price (high to low)""]","tests.saucedemo","Sat Mar 01 16:00:44 GMT 2025","passed","Sat Mar 01 16:00:45 GMT 2025","","test_login","",""
"","14521","test_check[chromium]","tests.demo","Sat Mar 01 15:59:43 GMT 2025","passed","Sat Mar 01 15:59:58 GMT 2025","","test_check","",""
"","718","test_login[chromium-user0-- text: Products Name (A to Z)\n- combobox:\n  - option ""Name (A to Z)"" [selected]\n  - option ""Name (Z to A)""\n  - option ""Price (low to high)""\n  - option ""Price (high to low)""]","tests.saucedemo","Sat Mar 01 16:00:43 GMT 2025","passed","Sat Mar 01 16:00:44 GMT 2025","","test_login","",""
"","3052","test_get_started_link[chromium]","tests.demo","Sat Mar 01 16:00:03 GMT 2025","passed","Sat Mar 01 16:00:06 GMT 2025","","test_example","",""
"","5749","test_login[chromium-user2-- text: Products Name (A to Z)\n- combobox:\n  - option ""Name (A to Z)"" [selected]\n  - option ""Name (Z to A)""\n  - option ""Price (low to high)""\n  - option ""Price (high to low)""]","tests.saucedemo","Sat Mar 01 16:00:46 GMT 2025","passed","Sat Mar 01 16:00:52 GMT 2025","","test_login","",""
"","2873","test_type_text_into_input[chromium]","tests.demo","Sat Mar 01 16:00:25 GMT 2025","passed","Sat Mar 01 16:00:28 GMT 2025","","test_type_text_into_input","",""
"","1696","test_login[chromium-visual_user--Epic sadface: Password is required]","tests.saucedemo","Sat Mar 01 16:01:02 GMT 2025","passed","Sat Mar 01 16:01:04 GMT 2025","","test_login_negative","",""
"","736","test_login[chromium-user3-- text: Products Name (A to Z)\n- combobox:\n  - option ""Name (A to Z)"" [selected]\n  - option ""Name (Z to A)""\n  - option ""Price (low to high)""\n  - option ""Price (high to low)""]","tests.saucedemo","Sat Mar 01 16:00:52 GMT 2025","passed","Sat Mar 01 16:00:53 GMT 2025","","test_login","",""
"","9180","test_type_text[chromium]","tests.demo","Sat Mar 01 16:00:16 GMT 2025","passed","Sat Mar 01 16:00:25 GMT 2025","","test_type_text","",""
"","1692","test_login[chromium--secret_sauce-Epic sadface: Username is required]","tests.saucedemo","Sat Mar 01 16:01:05 GMT 2025","passed","Sat Mar 01 16:01:06 GMT 2025","","test_login_negative","",""
"","1605","test_click[chromium]","tests.demo","Sat Mar 01 15:59:58 GMT 2025","passed","Sat Mar 01 15:59:59 GMT 2025","","test_click","",""
"","1703","test_login[chromium-visual_user-another_value-Epic sadface: Username and password do not match any user in this service]","tests.saucedemo","Sat Mar 01 16:00:58 GMT 2025","passed","Sat Mar 01 16:00:59 GMT 2025","","test_login_negative","",""
"","2501","test_write_you_name_text[chromium]","tests.devexpress","Sat Mar 01 16:00:29 GMT 2025","passed","Sat Mar 01 16:00:32 GMT 2025","","test_check","",""
"","2488","test_select_features[chromium]","tests.devexpress","Sat Mar 01 16:00:32 GMT 2025","passed","Sat Mar 01 16:00:35 GMT 2025","","test_check","",""
"","735","test_login[chromium-user4-- text: Products Name (A to Z)\n- combobox:\n  - option ""Name (A to Z)"" [selected]\n  - option ""Name (Z to A)""\n  - option ""Price (low to high)""\n  - option ""Price (high to low)""]","tests.saucedemo","Sat Mar 01 16:00:54 GMT 2025","passed","Sat Mar 01 16:00:55 GMT 2025","","test_login","",""
"","1691","test_login[chromium-another_value-secret_sauce-Epic sadface: Username and password do not match any user in this service]","tests.saucedemo","Sat Mar 01 16:01:00 GMT 2025","passed","Sat Mar 01 16:01:02 GMT 2025","","test_login_negative","",""
"","3590","test_emd_2_end_scenario[chromium]","tests.saucedemo","Sat Mar 01 16:00:39 GMT 2025","passed","Sat Mar 01 16:00:42 GMT 2025","","test_e2e_base","",""
"","9471","test_select[chromium]","tests.demo","Sat Mar 01 16:00:06 GMT 2025","passed","Sat Mar 01 16:00:16 GMT 2025","","test_select","",""
